Date,Holiday
2020-07-05,Independence Day
2020-07-06,Independence Day
2020-07-07,Independence Day
2020-07-08,Independence Day
2020-07-09,Independence Day
2020-07-10,Independence Day
2020-07-11,Independence Day
2020-07-12,Independence Day
2020-07-13,Independence Day
2020-08-28,Labor Day
2020-08-29,Labor Day
2020-08-30,Labor Day
2020-08-31,Labor Day
2020-09-01,Labor Day
2020-09-02,Labor Day
2020-09-03,Labor Day
2020-09-04,Labor Day
2020-09-05,Labor Day
2020-09-06,Labor Day
2020-09-07,Labor Day
2020-09-08,Labor Day
2020-09-09,Labor Day
2020-09-10,Labor Day
2020-09-11,Labor Day
2020-09-12,Labor Day
2020-09-13,Labor Day
2020-09-14,Labor Day
2020-09-15,Labor Day
2020-09-16,Labor Day
2020-09-17,Labor Day
2020-10-02,Columbus Day
2020-10-03,Columbus Day
2020-10-04,Columbus Day
2020-10-05,Columbus Day
2020-10-06,Columbus Day
2020-10-07,Columbus Day
2020-10-08,Columbus Day
2020-10-09,Columbus Day
2020-10-10,Columbus Day
2020-10-11,Columbus Day
2020-10-12,Columbus Day
2020-10-13,Columbus Day
2020-10-14,Columbus Day
2020-10-15,Columbus Day
2020-10-16,Columbus Day
2020-10-17,Columbus Day
2020-10-18,Columbus Day
2020-10-19,Columbus Day
2020-10-20,Columbus Day
2020-10-21,Columbus Day
2020-10-22,Columbus Day
2020-11-01,Veterans Day
2020-11-02,Veterans Day
2020-11-03,Veterans Day
2020-11-04,Veterans Day
2020-11-05,Veterans Day
2020-11-06,Veterans Day
2020-11-07,Veterans Day
2020-11-08,Veterans Day
2020-11-09,Veterans Day
2020-11-10,Veterans Day
2020-11-11,Veterans Day
2020-11-12,Veterans Day
2020-11-13,Veterans Day
2020-11-14,Veterans Day
2020-11-15,Veterans Day
2020-11-16,Veterans Day
2020-11-17,Veterans Day
2020-11-18,Veterans Day
2020-11-19,Veterans Day
2020-11-20,Veterans Day
2020-11-21,Veterans Day
2020-11-22,Thanksgiving Day
2020-11-23,Thanksgiving Day
